	Lun1	Lun2	Lun3-A	Plu1-A	Di1-A	Per1-A	Per3-A	Per2-A	Per4-A	Per5-A	Liv1-A	L1	L2	L3	L4	Ld1-A	Ld2-A	Ov1-A	Ov2-A	P2	P3	P4	P5	P6	P7	P8-A	P1	Pan1-A	Sp1-A	SB1-A	SB2-A	St1-A	St2-A	N1
P3	0.305776471257253	0.193366925398976	0.598096629774611	0.423084109500628	0.771838548552272	0.45798490080874	0.377949025998107	0.504411379470401	0.410036674696322	0.377302430819013	0.420026373216267	0.292933767360399	0.203222118539147	0.226885786517847	0.205079109892592	0.418305717122641	0.437526230634824	0.49881889652681	0.636556723524241	0.321837813163335	0	0.265717340047396	0.280434412280569	0.154445222780455	0.293503083030603	0.364232727834778	0.245446308185457	0.372573657416633	0.428683771083254	0.358441629790429	0.403125473174363	0.431347051714363	0.353226746096634	1.0471975511966
P4	0.29587384614252	0.361464154148158	0.600508666586377	0.37995227161219	0.706655618985123	0.405173259173601	0.365823869457301	0.47482372273431	0.369266810063814	0.345399528129421	0.367869122246671	0.224274384604884	0.247453747243476	0.207583085513208	0.350533510096988	0.456717748575502	0.497003404299032	0.470732196306912	0.584375092967526	0.319772577668778	0.265717340047396	0	0.303534758029772	0.282432716152601	0.365768430841948	0.364663206465046	0.204597510411025	0.396267371936915	0.360564849518193	0.357924244151206	0.407564453021003	0.400240565230852	0.347866881647581	1.0471975511966
P5	0.34636752567855	0.289341219948169	0.45136090358042	0.412236624185281	0.671990198185739	0.43760611262323	0.44966080842353	0.47204375291862	0.380131952452788	0.403561517580914	0.426611362294387	0.294114516905111	0.217275980130893	0.322824325630115	0.312315675678898	0.398057695370069	0.381614291966428	0.521035534115927	0.571762013457048	0.29483237880731	0.280434412280569	0.303534758029772	0	0.314200336380338	0.252441515882705	0.44395279113871	0.270061555843107	0.474874855324025	0.421494082489701	0.425083537938848	0.430365145245344	0.485360196589639	0.41778158780718	1.0471975511966
P6	0.313111514220585	0.240377024436995	0.617429871796804	0.420703382479819	0.758370094904243	0.454529335946636	0.360212534137811	0.506836864792341	0.397968896320779	0.383114791892555	0.413231915724569	0.319760860134985	0.281854382593557	0.291212981312734	0.273838419746833	0.403871749653833	0.438895447709581	0.482226461153481	0.633851930228492	0.376450366662543	0.154445222780455	0.282432716152601	0.314200336380338	0	0.251628264071981	0.347610943774079	0.285761618228451	0.362601131615403	0.433316215203087	0.334203943355022	0.386002871796017	0.406587985666457	0.324841061008573	1.0471975511966
P7	0.325463314729111	0.342686387196112	0.484999704895085	0.333189870865811	0.641715910167193	0.363965553231117	0.39607029990685	0.413861460090264	0.312382052867225	0.3884316958246	0.36972626865498	0.304017217184596	0.317737272737422	0.364044551713159	0.310236192236518	0.349287633174121	0.332557291168463	0.47040555873922	0.489066318455906	0.288537806399151	0.293503083030603	0.365768430841948	0.252441515882705	0.251628264071981	0	0.380552788702449	0.303273062252754	0.392271276190342	0.378239296798734	0.338354205044174	0.373591446593805	0.437570036726174	0.348197750399992	1.0471975511966
P8-A	0.276843920943	0.408873534700067	0.68798267926289	0.253175469483651	0.570898013090542	0.240954862526558	0.11351584910564	0.338678163799302	0.257356739461203	0.179019519847187	0.203096633826946	0.376626482617573	0.384084733158436	0.361787598512588	0.41920107399977	0.547231598451956	0.547714556255922	0.203016547186019	0.424651528958394	0.439883015217217	0.364232727834778	0.364663206465046	0.44395279113871	0.347610943774079	0.380552788702449	0	0.366410197550631	0.113276206152359	0.292944753595232	0.0952762477178806	0.171093738278016	0.166360579885516	0.0854052253244846	1.0471975511966
P1	0.290561918365183	0.340246418633004	0.548737883511355	0.329542079725169	0.70117038666663	0.354526666732755	0.374515568201469	0.441027789594237	0.338539400675045	0.348501972603165	0.386360921195494	0.217792932324279	0.212202332094977	0.204911023608124	0.365618737049667	0.512154645048948	0.51023752851041	0.45793907241399	0.533737069392712	0.298403027770751	0.245446308185457	0.204597510411025	0.270061555843107	0.285761618228451	0.303273062252754	0.366410197550631	0	0.376616313891604	0.366215369779702	0.336044248356949	0.373832066204248	0.407423463899622	0.329496020756845	1.0471975511966
Pan1-A	0.285004107010585	0.411609666372752	0.68169487642007	0.254352851119354	0.579152823375143	0.259927260988158	0.111925094157011	0.310026437128001	0.248325768910254	0.166206151011344	0.202710968933341	0.389169393425112	0.415720503120333	0.350875524095952	0.435452765319098	0.565885112362809	0.55265427621489	0.208460435303588	0.400969681128242	0.425524476576981	0.372573657416633	0.396267371936915	0.474874855324025	0.362601131615403	0.392271276190342	0.113276206152359	0.376616313891604	0	0.272462553878162	0.123621832181043	0.159575055296824	0.157729952827082	0.136026999202372	1.0471975511966
Sp1-A	0.24870284951582	0.488274525210417	0.558909833441222	0.227317975953998	0.482284533073703	0.235864866255216	0.267433970774235	0.220941662067225	0.178326926745704	0.205551872768625	0.20981553023975	0.367095939244705	0.435375138910906	0.356336095331579	0.46503141258053	0.534717438556985	0.511747363224173	0.304566979607922	0.294044521956686	0.315363120568108	0.428683771083254	0.360564849518193	0.421494082489701	0.433316215203087	0.378239296798734	0.292944753595232	0.366215369779702	0.272462553878162	0	0.249665176237492	0.244052711834163	0.269633312233845	0.269289103591764	1.0471975511966
SB1-A	0.235300364757849	0.421204316486371	0.649433305757804	0.19888333836257	0.56215625183132	0.190577643052496	0.132528970518577	0.319630016258866	0.220073764073882	0.175708063597011	0.200369186040047	0.36380896478267	0.374939344590804	0.351883006377621	0.424035026361512	0.542335002295921	0.533771507972346	0.22487644807965	0.390500395511262	0.411686735184788	0.358441629790429	0.357924244151206	0.425083537938848	0.334203943355022	0.338354205044174	0.0952762477178806	0.336044248356949	0.123621832181043	0.249665176237492	0	0.153344351641409	0.171123111729302	0.060061610047751	1.0471975511966
SB2-A	0.292808888958858	0.417275892649646	0.614547916784501	0.218238590550343	0.496245796398123	0.240632578343763	0.140194347235297	0.249639283048615	0.184715120215221	0.137310141492637	0.196738875126337	0.419530731751487	0.429204830263983	0.373192379619013	0.471274295710579	0.583460459284737	0.552294491150505	0.165045522058258	0.358983734209313	0.430207970027252	0.403125473174363	0.407564453021003	0.430365145245344	0.386002871796017	0.373591446593805	0.171093738278016	0.373832066204248	0.159575055296824	0.244052711834163	0.153344351641409	0	0.125091903748843	0.15453521875666	1.0471975511966
St1-A	0.30870775369463	0.453397856368114	0.652477853791232	0.251597514583481	0.509995087326613	0.270478574582327	0.107964696862269	0.307236975732686	0.253397576787598	0.136067326688294	0.19209010233688	0.432220688070587	0.459035621558321	0.385938659443677	0.493763260595552	0.622616224597089	0.609678735024562	0.155823345919557	0.40307123162842	0.480200100628616	0.431347051714363	0.400240565230852	0.485360196589639	0.406587985666457	0.437570036726174	0.166360579885516	0.407423463899622	0.157729952827082	0.269633312233845	0.171123111729302	0.125091903748843	0	0.167968721054961	1.0471975511966
St2-A	0.247433282463143	0.402868702285203	0.658666809868778	0.229979837339678	0.560507507115236	0.215150811715797	0.13613384456482	0.323510824040552	0.231544817749599	0.183875441265204	0.214689827446138	0.361405227261061	0.368064614807752	0.355024993988059	0.42366601473354	0.549153293352129	0.543914820957616	0.214447934423821	0.41042505636364	0.424956323532401	0.353226746096634	0.347866881647581	0.41778158780718	0.324841061008573	0.348197750399992	0.0854052253244846	0.329496020756845	0.136026999202372	0.269289103591764	0.060061610047751	0.15453521875666	0.167968721054961	0	1.0471975511966
N1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0
