	P1	P2	P3	P5	P7	P4	P6	P8-A	P9-A	L1	L2	L3	L4	L5	L6	L7	Ld1-A	Ld2-A	Ld3a-A	Ld4a-A	Ld5a-A	TD1	Liv1-A	Liv2-A	Liv3a-A	Liv3b-A	Liv4a-A	Di1-A	Di2-A	Di3a-A	Per3-A	Per4-A	Per5-A	X1a-A	X1b-A	X1c-A	Lun1-A	Lun2a-A	Lun2b-A	Me1-A	Per1-A	Per2-A	SB1-A	AG1a-A	AG2-A	Sp1a-A	Pan1a-A	X1d-A	P10-A	P11-A	P12-A	P13-A	Liv4b-A	AG1b-A	Pan1b-A	Sp1b-A	Di3b-A	Ld3b-A	Ld4b-A	Ld5b-A	Lun2c-A	Lun2d-A	N1
L2	0.554758816531466	0.570998197996536	0.685020536695222	0.585609445605044	0.62394812680637	0.77089687290427	0.585210526112894	1.06615670160158	0.724099840799719	0.61208525347569	0	0.756990879907949	0.47749678505507	0.837251562942756	0.784626986180561	0.95119775254238	0.90105348138811	0.976107437877401	0.824959936111999	0.928596086102945	1.0374319368825	0.697499620119687	0.914411248952246	0.839022880979725	0.995932918592544	0.894302403166507	1.09920186783762	0.974384589011027	0.883047182752086	1.00479518807645	0.973082970117731	1.05737385803933	0.943686354799401	1.06462232495598	1.03722047129127	0.964910269718317	0.983101076092166	0.928828477319066	0.984237087597472	0.907254878200611	0.894180969234754	0.97936922727019	0.904205001415202	0.88386686371375	1.00027848327428	0.900587860388355	0.852589247700197	0.941916639105575	0.933488388345053	1.00996069078339	0.977458372970201	0.806764679713851	0.824505532473329	0.928804889620981	1.00584610623479	0.952506281715978	0.8211991782881	0.877384686928564	0.830916102243505	0.720198109176309	0.855947168846884	1.02132863052199	1.0471975511966
L3	0.892234394023034	0.946669960464985	0.767940647827603	0.844778185390089	0.946966866637312	1.07428155039463	1.02155595078828	0.955734323473192	1.0024545424335	0.656502540778075	0.756990879907949	0	0.908014687378006	0.984484477121778	0.810637090481988	0.71522281307471	1.06491709632055	0.856707825118447	0.853228530368786	0.874364798121721	0.897005981194383	0.92232481553489	0.853852137118771	0.790400811682189	0.976542574603512	0.748313181666106	1.02328337667028	0.855149906931469	0.736121282378357	0.844533399707142	0.794237605465853	0.941830905043032	0.81540070783359	1.00711707478254	0.926769511568768	0.787734709656725	1.11812739908224	1.28402795299635	1.12844793748553	0.805112132395949	0.818693764938008	0.777437531340931	0.885409629978688	0.841036017343893	0.889463822508778	0.843591603437097	0.805489057507613	0.883473294613835	0.837356602867355	0.800910018151382	0.838370169234621	0.996161636723342	0.89218897713366	0.815892179873758	0.897667423653847	0.86983521056742	0.720842616014618	0.749273299461696	0.73640328516027	0.806696497995461	1.22442050644901	1.52862480634461	1.0471975511966
L4	0.608348346003096	0.504371291639937	0.534333726069082	0.372204280861355	0.585539927770711	0.880683249984339	0.42600251097872	0.874102654763211	0.697251678634889	0.649032834933519	0.47749678505507	0.908014687378006	0	0.887687774513789	0.666784682011917	0.96168455165426	1.00137586793009	0.838857352344321	0.625110088031069	0.781614381770095	0.98205520872129	0.508824245485007	0.721973873209005	0.67461556958486	0.890529916219882	0.742929572899169	0.960580199587369	0.759346538555351	0.712685312509023	0.911696415177404	0.832423040057813	0.876138374104983	0.779904028159961	0.937196553831013	0.944681303840308	0.821690220136922	1.10825072989899	1.07753440961677	1.00779541252572	0.707860528227002	0.690700920934749	0.896371769292946	0.72288084253163	0.717353926636294	0.839288944725479	0.802285644316292	0.692367529994289	0.823241839592723	0.732449969194383	0.878824522836527	0.841338445721748	0.850592048445159	0.604407207349586	0.734954591112992	0.834238314003558	0.782349729166828	0.660137049174089	0.719909912377736	0.670172749302161	0.471897852714834	0.980174458500828	1.07594445932121	1.0471975511966
L5	0.622778413498277	0.712944827823829	0.642680532531972	0.697459589343579	0.646835527878612	0.761081714245568	0.716412067337354	0.987251810171441	0.826082168344868	0.755451345761852	0.837251562942756	0.984484477121778	0.887687774513789	0	0.867774491732721	1.01761694580251	0.737325296475885	0.984951241690288	0.91582915602536	0.957302547416865	0.962423589491268	0.799921913776901	0.896117827519843	0.929181281602134	0.925015755133593	0.926653079083159	0.85346325028173	1.02827997455098	1.0260790742486	0.914152623956421	1.10223496388957	1.0671275115126	1.00679386080241	0.924764467525548	0.821840372982346	0.954254353684171	0.907347981129076	0.902114545638755	0.962180808367502	0.966003647044452	1.0233274724201	0.869104970483301	0.937164814610799	0.925407158489068	1.00650620047983	0.889324497820279	0.889575615249349	1.11173803017024	1.1423700014937	1.12158183023546	1.1610686932488	0.978878129490249	0.830781787635292	0.996082367253968	1.02653229316211	1.10985563276419	0.9764451102876	1.13762408114934	1.25159378376015	0.901167328558682	0.936886865454113	1.22012161643322	1.0471975511966
L6	0.84147125106805	0.779169441328878	0.41789988366919	0.435264841258216	0.686549826600879	1.0198318881698	0.77950659915962	0.683747482545269	0.968356071261347	0.624198746121079	0.784626986180561	0.810637090481988	0.666784682011917	0.867774491732721	0	0.69727136674729	1.07037104011046	0.591072225053012	0.543920699921018	0.674957238057374	0.862896498171794	0.601174933286063	0.476560568513482	0.510600191648505	0.607092035935679	0.40580924053429	0.742096100709053	0.623479417402429	0.48512417951778	0.647899451193066	0.712605736716721	0.709494075038756	0.504930583338638	0.758311121543297	0.723004013169262	0.60807277594184	1.19369581422913	1.32656255476208	1.12311314062399	0.546860337048279	0.497685342238483	0.585834886384925	0.584500162226655	0.563572195662164	0.598969801066714	0.691743147579933	0.580787057750871	0.695635613716628	0.61035217345317	0.65097638328684	0.650878737603089	1.03004065715589	0.477233135354124	0.556702510509506	0.578640810467081	0.664346724973216	0.62621061851006	0.752028191077644	0.716714172601424	0.513226792193922	1.11311616796537	1.42479523140555	1.0471975511966
L7	1.14817400079611	1.02063599265058	0.80631959106936	0.810690779512458	1.08773648254006	1.20153863670877	1.13005331882624	0.898803861856508	1.19165962261186	0.769132550125621	0.95119775254238	0.71522281307471	0.96168455165426	1.01761694580251	0.69727136674729	0	1.31152726630084	0.836992311640127	0.853345318967496	0.89008022030024	1.03633650493786	0.734753539204713	0.82769608407552	0.772714468700526	1.00660520080992	0.724265791642199	0.989182628949111	0.775701148759664	0.746279198227723	0.855196267702854	0.766429177721571	0.889003063018612	0.813304333309357	1.00274099268617	0.970189810985552	0.83292560125917	1.34657959490573	1.42535853818673	1.16576010761582	0.796510181158912	0.777977186086082	0.811639977803258	0.895340720563732	0.829086979046464	0.802769978882223	0.91383376207111	0.852859907770511	1.00224303002775	0.882098098623647	0.787968454954854	0.894247523738941	1.22118248517728	0.859035751085206	0.851962082730996	0.861844986299782	0.947673883703763	0.835119937915681	0.936721707691132	0.863847765369501	0.914941715486925	1.42067580401208	1.66729091502358	1.0471975511966
Ld1-A	0.54634348567383	0.713944601024665	0.82445112089017	0.859352536486691	0.728704584230995	0.318400500734316	0.755266956888212	1.22659331833828	0.485097492435244	0.93608441906103	0.90105348138811	1.06491709632055	1.00137586793009	0.737325296475885	1.07037104011046	1.31152726630084	0	1.20754034133424	1.14117908956023	1.12747250308187	1.24339764706356	1.05653329451376	1.12874694105438	1.15421138982451	1.12266596455327	1.14599925793369	1.15230016685001	1.26354634059898	1.21924528830602	1.09149878391813	1.30612323380804	1.29718709225103	1.1995287575259	1.11420334546727	1.05751702149594	1.19168576247421	0.473813800118315	0.625972499339828	0.8280945102206	1.14408249366683	1.22036226215924	1.11802042191531	1.0673029569869	1.15565544368205	1.23160604569107	1.05727624922245	1.08611388185852	1.21731477104458	1.24504610112594	1.14229520693193	1.20545000795006	0.525366229391396	1.0264514410426	1.17719879612984	1.25044124878817	1.20542966965887	1.10157830667425	1.19116083885267	1.19459384399452	1.01852844808874	0.58652089668303	0.831102350461112	1.0471975511966
Ld2-A	0.930700226162502	0.948971189673413	0.697365853305808	0.739774357165072	0.823226745821283	1.20904508574356	0.969750834846713	0.326713969907023	1.09820244683658	0.722491692738087	0.976107437877401	0.856707825118447	0.838857352344321	0.984951241690288	0.591072225053012	0.836992311640127	1.20754034133424	0	0.31308443324061	0.275399331775065	0.604676070813003	0.976713960011261	0.276384157258593	0.306125536130101	0.464959017960562	0.311856747473789	0.531841992829611	0.342859402845038	0.289215593431102	0.408710673399768	0.359527114624025	0.236203063621837	0.269814685668131	0.477376612195738	0.548763665091561	0.333421731814487	1.4398200338123	1.53087826786753	1.02822997937332	0.278635888016265	0.309589750825841	0.456036802857004	0.377780408562896	0.278058874259134	0.380017988174113	0.374126924698202	0.339734195346073	0.305461812955612	0.377395200537716	0.41838074073467	0.382852037619249	1.18337098843548	0.393464978592184	0.317313176981137	0.216505931619088	0.376982502103752	0.338091090672673	0.50762112515411	0.734527608155152	0.497119549792502	1.3621597677955	1.57516881081264	1.0471975511966
Ld3a-A	0.803342252348604	0.817368378643368	0.604492915758619	0.589469138209734	0.744036876205258	1.12859656488154	0.806366280318385	0.367631663572526	0.981249946840281	0.627400017860393	0.824959936111999	0.853228530368786	0.625110088031069	0.91582915602536	0.543920699921018	0.853345318967496	1.14117908956023	0.31308443324061	0	0.309588848588848	0.639917786957678	0.805734263216322	0.234034956376382	0.241903676773828	0.488526842863499	0.383301096311135	0.622669230569591	0.331641649196523	0.284094432700249	0.445526675620572	0.379142826351417	0.384123758306011	0.355762294950647	0.480963617704655	0.607906980513951	0.367041532463798	1.3922215786508	1.45467423391917	0.964369331243424	0.251852652807568	0.29408619678698	0.566799976466922	0.3680969187579	0.247481058850421	0.410030351262431	0.402868123987277	0.244239406482524	0.403650426081397	0.331588685321268	0.514804658666733	0.455636057338542	1.12275785000499	0.267861444323509	0.282183850247721	0.272464491446641	0.363612918433209	0.288501522878081	0.426015122367685	0.682253214308358	0.318833375735893	1.28698585191613	1.41353388801354	1.0471975511966
Ld4a-A	0.848577418315776	0.888673857973687	0.690665102764549	0.731701518967502	0.791306653428577	1.12875169180722	0.901395809431098	0.316975297428082	1.01139402559412	0.663976125248604	0.928596086102945	0.874364798121721	0.781614381770095	0.957302547416865	0.674957238057374	0.89008022030024	1.12747250308187	0.275399331775065	0.309588848588848	0	0.585604335700401	0.935450741357161	0.281168767065882	0.322276970782565	0.429129041673271	0.384892061403806	0.527568521315781	0.378733746328553	0.349739605115315	0.316094307220828	0.322851851399515	0.287315987392066	0.322991461233471	0.340327953464261	0.515392825065322	0.314707231365927	1.38786249131279	1.44792102802218	0.900425684464441	0.281132653418097	0.336556424359455	0.502285052615012	0.229821202454779	0.250877225769404	0.351697771913395	0.215339713549406	0.223127815588194	0.32625136606868	0.394955201745649	0.452354956357048	0.44076843647519	1.10866562400237	0.337417060887576	0.300464905786346	0.278990561325958	0.384746515914236	0.263695864124034	0.476260104214895	0.744824245072154	0.450139793183721	1.33423198617306	1.47943943091108	1.0471975511966
Ld5a-A	1.02627932470565	1.11235494135832	0.898969341681183	0.932263743186729	1.02613809507471	1.29060027011104	1.09696384630076	0.625990270039126	1.2091345475029	0.875579716998005	1.0374319368825	0.897005981194383	0.98205520872129	0.962423589491268	0.862896498171794	1.03633650493786	1.24339764706356	0.604676070813003	0.639917786957678	0.585604335700401	0	1.06211118189414	0.571340841589964	0.563204155098624	0.632939402051095	0.663996152402782	0.731839740903053	0.580730357042479	0.585569822707669	0.669863983485701	0.584342003244093	0.567507751196913	0.581324914169284	0.622663023009623	0.714029318402701	0.563718917668981	1.37063071763847	1.47675640295094	1.01656393647329	0.590685866722657	0.621367086587315	0.702569227434799	0.667260197577734	0.569982832575294	0.648534772033921	0.624213158512762	0.562212291569997	0.62192120085515	0.680412947405473	0.687224910443409	0.660693659718607	1.2803452692469	0.641682597320126	0.573390135770097	0.589655887360491	0.67537758258929	0.605292897768172	0.681966717818221	1.0202562584848	0.754318503954415	1.29209044596268	1.5653800429849	1.0471975511966
TD1	0.81430519824524	0.637829253785385	0.497327537912471	0.421680074346327	0.741353185115511	0.921974914506612	0.603043701698415	0.9575163615211	0.853547222950438	0.673677694833596	0.697499620119687	0.92232481553489	0.508824245485007	0.799921913776901	0.601174933286063	0.734753539204713	1.05653329451376	0.976713960011261	0.805734263216322	0.935450741357161	1.06211118189414	0	0.798438153049955	0.803817461970339	0.966204725760535	0.78901989636011	0.972387357083586	0.868514130360846	0.822845865735858	0.95780295341208	0.958430145995487	1.01607083048156	0.867567774261353	1.00293563911007	0.971088726251379	0.90765487348834	1.06913492295207	1.08056604424143	1.085487909133	0.834100975158299	0.799957573076647	0.888760076497325	0.841234525372774	0.842600845359143	0.890751458079555	0.942374717937254	0.827255414850688	1.05525243446932	0.916941344886566	0.982986147718092	1.01672837128219	0.966219901890978	0.734558934993401	0.850462384535799	0.952180505416735	0.987019934620454	0.856763399580737	0.963922245255399	0.859573989495507	0.702128066244063	1.06115550158058	1.26022768259712	1.0471975511966
Liv1-A	0.852735850041291	0.865792091579442	0.550052342116634	0.602993759447022	0.74742218270513	1.13740379235181	0.84541587584303	0.283138374646067	1.01790737649176	0.626716428201643	0.914411248952246	0.853852137118771	0.721973873209005	0.896117827519843	0.476560568513482	0.82769608407552	1.12874694105438	0.276384157258593	0.234034956376382	0.281168767065882	0.571340841589964	0.798438153049955	0	0.219810050392285	0.366823750734845	0.266750082602435	0.509570781307724	0.307021230641135	0.244774928367758	0.346511642336064	0.379894544926058	0.339232994561336	0.221216142865972	0.380171114228108	0.497740856709778	0.25019843815937	1.3609805957547	1.46152346125657	0.990818205263683	0.206242500236801	0.230316934715856	0.454729939586174	0.282870642182247	0.184557864129091	0.29120038549963	0.357774246530274	0.199935462861313	0.410151563919527	0.357458207614866	0.460474737848638	0.449014044199328	1.13085132927312	0.235609915607	0.20523732253549	0.219715289792947	0.413258412780664	0.326037768959941	0.507611704417966	0.74034716281812	0.362832635736539	1.2950349236339	1.49883235582938	1.0471975511966
Liv2-A	0.868323220580508	0.874988089142159	0.604699810989167	0.614746947756966	0.796953977828152	1.14715698330622	0.856060680186946	0.355996614402731	1.00298005797993	0.622270760522582	0.839022880979725	0.790400811682189	0.67461556958486	0.929181281602134	0.510600191648505	0.772714468700526	1.15421138982451	0.306125536130101	0.241903676773828	0.322276970782565	0.563204155098624	0.803817461970339	0.219810050392285	0	0.452335167161138	0.331559029366082	0.634258669357209	0.232921832344521	0.204045140331437	0.436575849887916	0.29170726058464	0.348787184576366	0.267887331508786	0.503245604603689	0.617567207242381	0.279404667032324	1.37769487209629	1.46411625279884	0.986774867695681	0.168905098037063	0.178829825003112	0.557947550818625	0.370031430640588	0.174577303186607	0.340224663106898	0.418870266600007	0.225216136950127	0.408856476952161	0.287184151003223	0.383822999246262	0.378643679068711	1.11683678248548	0.269629051908458	0.244859179878368	0.267499523090952	0.400824509941908	0.2872133950742	0.420528406591624	0.685440120775917	0.374177933726597	1.28609547416919	1.45292753441865	1.0471975511966
Liv3a-A	0.901489254087003	1.01464497925258	0.673980357656683	0.777600334708641	0.791585302921418	1.15266336559953	0.929456922197825	0.466718750558789	1.10255049522357	0.705279086283147	0.995932918592544	0.976542574603512	0.890529916219882	0.925015755133593	0.607092035935679	1.00660520080992	1.12266596455327	0.464959017960562	0.488526842863499	0.429129041673271	0.632939402051095	0.966204725760535	0.366823750734845	0.452335167161138	0	0.466586851120891	0.613732368707271	0.583649953605546	0.490193202058199	0.383561946352535	0.586614319201387	0.556302572721426	0.376203956375445	0.396089686730723	0.571794856320093	0.382839257704791	1.35710507514259	1.48778312284088	1.04440562076489	0.472463206923288	0.465523566978398	0.581622951704792	0.35145497491926	0.408822090480999	0.425551046530139	0.422908657253384	0.377416178895494	0.482875543268042	0.541289030061402	0.63035620166268	0.581197037638725	1.19988573340873	0.456610613891796	0.409816718196245	0.408880614658082	0.525878243618373	0.53784378645222	0.700670400938944	0.949462649143084	0.536822243748387	1.28327304575728	1.47528026722095	1.0471975511966
Liv3b-A	0.886580608704655	0.829727714610085	0.513469548593237	0.587942475451078	0.715675634194066	1.12909284745784	0.869333410388718	0.429556257231293	1.03065425785512	0.666329377671547	0.894302403166507	0.748313181666106	0.742929572899169	0.926653079083159	0.40580924053429	0.724265791642199	1.14599925793369	0.311856747473789	0.383301096311135	0.384892061403806	0.663996152402782	0.78901989636011	0.266750082602435	0.331559029366082	0.466586851120891	0	0.48342037755354	0.407944339517804	0.262785906075872	0.425149311011765	0.447930376144982	0.428642678014733	0.26267575604385	0.531894422389528	0.459402025688317	0.318781174262388	1.3273769567083	1.42538489866275	1.12585772926695	0.314961208791508	0.28325082773976	0.307416118455853	0.357836260195226	0.318517840896831	0.340949469161943	0.39852066455096	0.353949883062795	0.471394569962409	0.4464160590642	0.468644658313267	0.499807748232364	1.08755218592191	0.352390919329058	0.322407969647354	0.335984258115699	0.498475377751942	0.38902784788569	0.5926693081498	0.649832988472753	0.425450074156988	1.28687795394893	1.60147735004572	1.0471975511966
