	Per21	Per7	Per8	Per9	Per20	Per13	Per18	Per17	Per5	Per10	Per11	Per1	Per12	Per6	Per14	Per2	Per3	Per4	Per15	Per16	Per19	Liv1	L6	L5	TD3	TD2	TD1	L1	L2	TD4	L3	L4	PerOv1	P1	P6	P7	P8	P2	P3	P9	P4	P5	N1
Per19	0.485454750597248	0.132733017932674	0.209013441525059	0.351092184318848	0.303073541156736	0.419397744015261	0.22729744377424	0.551589552568106	0.282455598937999	0.313860074332388	0.186857444245981	0.379157029972425	0.326922466459753	0.223708299523799	0.272503701215429	0.290284061896346	0.278348870749563	0.221055639216056	0.247958206104468	0.182935152346862	0	0.307532101841598	0.378233155706223	0.280761869481908	0.409775651828094	0.230543998750375	0.290322654831724	0.226498789128548	0.274856565016389	0.459108891204621	0.215232475539044	0.269565423177019	0.23306782809197	0.451821354306446	0.263377815192432	0.261390031173423	0.274080257587434	0.34177350742073	0.303858271141722	0.594138311128257	0.240289835415518	0.267497036445674	1.0471975511966
Liv1	0.441923605433689	0.300983053830746	0.212393332571108	0.350929684356174	0.382673566341002	0.512450450444989	0.296061025600521	0.652328883501375	0.314730606528382	0.260001945267982	0.290089371408669	0.28214488491247	0.316049797968332	0.270446280891474	0.275153368374527	0.31816113902521	0.254456211298356	0.245356375320009	0.38601158568429	0.30089164326132	0.307532101841598	0	0.467442266346432	0.312504835560442	0.438958825862108	0.246383948953014	0.123707765524647	0.223883595426151	0.284513392824289	0.345282450687092	0.229144072821603	0.212890013579529	0.175162151796804	0.425743115993097	0.196832794151245	0.183394170551961	0.15650692480684	0.209661949649462	0.111407851044476	0.582157694512333	0.179819099870196	0.186672825225877	1.0471975511966
L6	0.673425864742365	0.40003987884306	0.422683649964182	0.386798850809677	0.326200696049669	0.398020880494549	0.36888295102082	0.414528286661687	0.365357065927545	0.450765319957681	0.369525029519051	0.592276208244411	0.441586296004882	0.378489534093173	0.388088052484018	0.419121093638067	0.429886106733161	0.359436373378539	0.309163645559822	0.37195651767785	0.378233155706223	0.467442266346432	0	0.299857656911948	0.441073495464522	0.431883129698861	0.422731346004884	0.394808229428341	0.299956876466497	0.620400271249208	0.415474532301713	0.465670853519531	0.439969352608002	0.564579974540955	0.425647167373558	0.484113954813717	0.415932573454848	0.45892707812596	0.483179372967445	0.558692492846704	0.466179149777208	0.393079742246907	1.0471975511966
L5	0.571355445572468	0.315077489161783	0.256335635329731	0.309731711670548	0.234762286934762	0.346369781158611	0.24759011200908	0.501943569935332	0.245113992327073	0.290345507841558	0.274868561885799	0.435457733123115	0.295536721282305	0.251096576096414	0.21432730920158	0.349834024647628	0.26263908251065	0.190554635745424	0.311055447013545	0.217282739382138	0.280761869481908	0.312504835560442	0.299857656911948	0	0.383350695633033	0.303156021247011	0.302069626113688	0.259518331517092	0.269262899381203	0.43728613941878	0.230644226687941	0.299900973242078	0.262385259503158	0.459340954597312	0.29151891792854	0.311749718462858	0.28965067129845	0.332936348488119	0.340751197174834	0.531558531238012	0.287356246079973	0.272038475200857	1.0471975511966
TD3	0.492546968508627	0.448207311960561	0.392334172374389	0.326616793048113	0.341322381944764	0.575412440957413	0.454898647777716	0.497175929217763	0.448483638023593	0.410771879969922	0.390755283879829	0.442300560102241	0.303185477762441	0.381491749248227	0.382158438733097	0.408031499773036	0.466790434918725	0.406485261160813	0.41108075595117	0.381806884947821	0.409775651828094	0.438958825862108	0.441073495464522	0.383350695633033	0	0.427426098252231	0.480852626968976	0.38453468068995	0.492122903072463	0.425419127227008	0.452663418370717	0.382831582282014	0.434507063345988	0.538021474109412	0.412657687916036	0.453929351328432	0.497165921729744	0.453853280426655	0.456708118361877	0.407449397008638	0.405373513760586	0.451577602439121	1.0471975511966
TD2	0.454998701962382	0.204698029622894	0.127445036055146	0.361575405643895	0.268424030527867	0.546789491511087	0.188765015820957	0.573457206509233	0.19791713109024	0.196294381585161	0.216579217563366	0.250583741439225	0.291826674379915	0.191775805583672	0.346646093631516	0.216850283085169	0.191011858975073	0.14985748735053	0.279746061085433	0.29195843250407	0.230543998750375	0.246383948953014	0.431883129698861	0.303156021247011	0.427426098252231	0	0.260831689497149	0.11252088105309	0.295157323534747	0.445283738527175	0.15203665912513	0.155308958841544	0.12962602560104	0.416852188678335	0.194270826350162	0.175446787194446	0.194344173748164	0.209302742643004	0.205709533601729	0.525337616324808	0.210045402936704	0.181245473944679	1.0471975511966
TD1	0.499184238585388	0.280739126105189	0.236486043729016	0.349424912208996	0.386592623963818	0.457777334318484	0.254418922432574	0.62144288373322	0.284278555114051	0.28826660591901	0.296264540942695	0.341882537066885	0.352748449705167	0.288923164249013	0.269001607019704	0.318723568442374	0.26004649379594	0.238150275397258	0.348166538922695	0.289431962781529	0.290322654831724	0.123707765524647	0.422731346004884	0.302069626113688	0.480852626968976	0.260831689497149	0	0.243692556121073	0.231350460774061	0.420711417539482	0.22216248248692	0.258825784289117	0.197423604796049	0.434562243061654	0.230581361606006	0.219068342390145	0.1328460978506	0.253461994869836	0.167026490913852	0.591343936054965	0.217436738189904	0.204191095251511	1.0471975511966
L1	0.426693056769911	0.216392580578726	0.115550542070816	0.307454976559575	0.244762927582732	0.514243064132127	0.202451280056314	0.561169824433057	0.218223552276821	0.186578762651152	0.189372400047925	0.272151419253536	0.231511293288878	0.161128207107873	0.309142464043748	0.175904973980317	0.217304293839259	0.119917056741987	0.250868420272586	0.276949668266669	0.226498789128548	0.223883595426151	0.394808229428341	0.259518331517092	0.38453468068995	0.11252088105309	0.243692556121073	0	0.28550306877736	0.429146016318082	0.169675063667644	0.156816747863598	0.128533436490565	0.371284199471036	0.177614650276772	0.202214457300116	0.184194923007812	0.230762757718227	0.192260968170456	0.494816646482928	0.176758784290032	0.15399091990965	1.0471975511966
L2	0.599946209145207	0.241902832290764	0.274641708323059	0.34180986674269	0.338271995598288	0.397631677163713	0.251627281744509	0.586825386096107	0.257773287404532	0.313328581676777	0.239292948428932	0.450053989664922	0.388007585737766	0.248764758624282	0.298102125640879	0.330566836324474	0.254153041005176	0.230653598911388	0.288024793977359	0.308274408617028	0.274856565016389	0.284513392824289	0.299956876466497	0.269262899381203	0.492122903072463	0.295157323534747	0.231350460774061	0.28550306877736	0	0.475260988172866	0.263711288405723	0.333882984208526	0.273346190957974	0.464295398736671	0.292723822262905	0.296851032488509	0.225965790612723	0.318023588509902	0.307010451820605	0.634929207417908	0.315196509617893	0.232715691530144	1.0471975511966
TD4	0.517476795456	0.461252513495546	0.368761605721067	0.428802393827986	0.48754246189678	0.602567434615546	0.477552347387737	0.817568675353444	0.484978242102473	0.376544181989938	0.425099541382071	0.371705938106485	0.374909351355323	0.397032251420515	0.371362017993019	0.488646604438909	0.370188945426086	0.436998109726628	0.568010965965649	0.415360759661291	0.459108891204621	0.345282450687092	0.620400271249208	0.43728613941878	0.425419127227008	0.445283738527175	0.420711417539482	0.429146016318082	0.475260988172866	0	0.403176473689031	0.342714374699657	0.383309523929455	0.523090913373073	0.364018114213834	0.339838700971226	0.426679005189239	0.392680782197558	0.366827544162587	0.706717850294739	0.342047599899468	0.419605033990583	1.0471975511966
